source,dataset_version,file_name,retrieved_at,checksum_algorithm,checksum
ABS OSCA,2024 Version 1.0,OSCA Category Descriptions.xlsx,2026-08-29,SHA-256,4412B0A20A54AB7BAB01063B83BEC4EE0A29768204F84A36851D82B661238FE8
ABS OSCA,2024 Version 1.0,OSCA correspondence tables v2.xlsx,2026-08-29,SHA-256,A88BE381B95A7D3C1340588C374E260BD27B9C9198B4D8A48B8C71016BB64AE9
ABS OSCA,2024 Version 1.0,OSCA index of principal titles alternative titles and specialisations.xlsx,2026-08-29,SHA-256,8C359EE1CA95CFC913DD788606D8ABFC41EA39A7C38FDAEAD47C8E186559241C
ABS OSCA,2024 Version 1.0,OSCA structure.xlsx,2026-08-29,SHA-256,BA4343A88FC98D4C8AD7F8EB76965ED20452500A84807CCF3553E690097C474F
O*NET Database,31.0,content_model_reference.csv,2026-08-30,SHA-256,370033744006DBD5DF048431D42A402F6741A00A229B6D0F4E4F4249B6399C04
O*NET Database,31.0,essential_skills.csv,2026-08-30,SHA-256,68C4D31D8C55077238395DCA40CC4E6D32E6A608B5474BB8264B1F98AE415BD7
O*NET Database,31.0,job_titles.csv,2026-08-30,SHA-256,75A3B46D6EDC5996117C10C9ED488C9A06F7495D02969E9D12873AB14A21540C
O*NET Database,31.0,knowledge.csv,2026-08-30,SHA-256,88092E17D16096CDEBE292FEE4389DEB460EDDA24AE8B4637212C69C71562F55
O*NET Database,31.0,level_scale_anchors.csv,2026-08-30,SHA-256,7205657FB54280827D6902B94E06F95EF0B9ED10F1F9F8ED3F02779D4C7A9573
O*NET Database,31.0,occupation_data.csv,2026-08-30,SHA-256,A09EAE1D6609686E44E05B7290993A1C8B523D8CA224BC0EEDC194C855C3EE02
O*NET Database,31.0,scales_reference.csv,2026-08-30,SHA-256,BCBA23858CE21ECAACBDE303A8993E35D46724B4AFB8C9EC2B10E04F42ADCFC9
O*NET Database,31.0,software_skills.csv,2026-08-30,SHA-256,6AABB96B464288DB849580E6510530EFFF3F80E25DDE2BB23F1FC36BB526B016
O*NET Database,31.0,transferable_skills.csv,2026-08-30,SHA-256,F17D0419E818A3BF2F55076510C76C4AEF01CC8F5AEE2670D2F44F6F44AC60F7
